"Name","Calls","TotalDurationNs","AverageNs","Percentage"
"Cijk_Ailk_Bljk_SB_MT16x16x32_MI16x16x4x1_SE_1LDSB0_APM1_ABV0_ACED0_AF0EM1_AF1EM1_AMAS0_ASE_ASGT_ASLT_ASM_ASAE01_ASCE01_ASEM1_AAC0_BL1_BS1_CLR0_DTLA0_DTLB0_DTVA0_DTVB0_DVO0_ETSP_EPS0_ELFLR0_EMLL0_FSSC10_FL0_GLVWA4_GLVWB4_GRCGA1_GRCGB1_GRPM1_GRVW4_GSU1_GSUASB_GLS0_ISA90a_IU1_K1_KLA_LBSPPA0_LBSPPB128_LPA0_LPB4_LDL1_LRVW2_LWPMn1_LDW0_MAC_MIAV0_MDA2_MO40_MMFGLC_MKFGSU256_NTA0_NTB0_NTC0_NTD0_NEPBS0_NLCA1_NLCB1_ONLL1_OPLV0_PK0_PAP0_PGR2_PLR9_PKA0_SIA3_SLW1_SS0_SU0_SUM0_SUS0_SCIUI1_SPO0_SRVW0_SSO0_SVW4_SNLL0_TSGRA0_TSGRB0_TT1_16_TLDS1_UMLDSA0_UMLDSB1_U64SL1_USFGROn1_VAW1_VSn1_VW1_VWB1_VFLRP0_WSGRA1_WSGRB1_WS64_WG16_4_1_WGM1.kd",5488,310809971,56634,0.3595963736220715
"wrapped_transpose_48.kd",10936,309034915,28258,0.35754269529726607
"input_reduce_select_fusion_2.kd",15000,280262307,18684,0.3242537841881389
"input_reduce_fusion_126.kd",20000,252006474,12600,0.29156276385896523
"wrapped_transpose_109.kd",25000,239596406,9583,0.2772047449226831
"loop_add_fusion.kd",5000,229789243,45957,0.2658581969371921
"input_reduce_select_fusion_7.kd",20000,224259949,11212,0.2594609952493149
"input_reduce_fusion_348.kd",25000,223932919,8957,0.25908263286381206
"select_and_scatter_4684_0.kd",5000,220421572,44084,0.25502012597683466
"input_reduce_fusion_59.kd",30000,216396237,7213,0.25036295277239456
"igemm_wrw_gtcx2_nhwc_fp32_bx0_ex1_bt64x32x16_wt16x16x4_ws1x1_wr2x1_ta1x1x1x4_1x16x1x16_tb1x1x1x2_1x16x1x16_gkgs.kd",5008,215868587,43104,0.24975247999402386
"wrapped_transpose_71.kd",25000,209781396,8391,0.2427098107961785
"loop_maximum_fusion_38.kd",10000,209130538,20913,0.24195679062829298
"loop_multiply_fusion_6.kd",15000,204213094,13614,0.2362674782030825
"Im2d2Col_v2.kd",27648,200808577,7263,0.23232856992676246
"loop_multiply_fusion_57.kd",10000,196882200,19688,0.22778588770157376
"wrapped_transpose_45.kd",15468,195320150,12627,0.22597864994272993
"wrapped_transpose_107.kd",30000,188606073,6286,0.21821069535088913
"input_reduce_fusion_69.kd",35000,185531031,5300,0.2146529782404057
"input_reduce_fusion_461.kd",10000,179150064,17915,0.20727042038352758
"loop_multiply_fusion_59.kd",5000,176103050,35220,0.2037451306984818
"input_transpose_fusion_13.kd",30000,174070736,5802,0.2013938137760869
"loop_multiply_fusion_11.kd",25000,168643049,6745,0.19511416786873065
"input_reduce_fusion_387.kd",35000,166132148,4746,0.19220914235999614
"batched_transpose_4x64_dword.kd",32412,163653906,5049,0.18934190218333558
"input_transpose_fusion.kd",5936,159462090,26863,0.18449211622685163
"loop_maximum_fusion_45.kd",15000,157737797,10515,0.18249716893520918
"loop_select_fusion_9.kd",5000,152625937,30525,0.17658292393029676
"loop_select_fusion_8.kd",5000,151751684,30350,0.1755714434832032
"input_reduce_fusion_525.kd",15000,150287526,10019,0.17387746337852455
"input_transpose_fusion_7.kd",25000,147261772,5890,0.17037677077728083
"loop_multiply_fusion_28.kd",35000,146599370,4188,0.16961039460114455
"input_reduce_fusion_485.kd",30000,146560492,4885,0.16956541410142412
"input_reduce_fusion_81.kd",30468,146004592,4792,0.16892225705130326
"loop_maximum_fusion_53.kd",20000,144857782,7242,0.16759543759339876
"input_multiply_transpose_fusion_5.kd",20000,143097143,7154,0.16555843923835697
"wrapped_transpose_46.kd",6404,141934910,22163,0.16421377590352496
"input_reduce_fusion_467.kd",5000,138928830,27785,0.1607358454390038
"batched_transpose_64x4_dword.kd",27380,137777321,5032,0.15940358940081775
"wrapped_transpose_93.kd",20000,135991850,6799,0.1573378612816662
"igemm_fwd_gtcx2_nhwc_fp32_bx0_ex0_bt128x64x16_wt32x32x2_ws1x1_wr1x2_ta1x8x1x1_1x2x4x32_tb1x4x1x1_1x4x1x64_pta_gkgs.kd",10484,134547699,12833,0.15566702858317893
"loop_multiply_fusion_39.kd",30000,130852504,4361,0.1513918159265476
"input_reduce_fusion_478.kd",30000,128464224,4282,0.14862865866865474
"input_reduce_fusion_51.kd",5000,128363078,25672,0.14851163624917008
"input_reduce_fusion_98.kd",26404,127360028,4823,0.14735114213309933
